instanceid,text,category
31126331,"CMAB009 plus irinotecan versus irinotecan-only as second-line treatment after fluoropyrimidine and oxaliplatin failure in KRAS wild-type metastatic colorectal cancer patients: promising findings from a prospective, open-label, randomized, phase III trial.",2019
31126299,Changes in FTO and IRX3 gene expression in obese and overweight male adolescents undergoing an intensive lifestyle intervention and the role of FTO genotype in this interaction.,2019
31126258,"EORTC-1203-GITCG - the ""INNOVATION""-trial: Effect of chemotherapy alone versus chemotherapy plus trastuzumab, versus chemotherapy plus trastuzumab plus pertuzumab, in the perioperative treatment of HER2 positive, gastric and gastroesophageal junction adenocarcinoma on pathologic response rate: a randomized phase II-intergroup trial of the EORTC-Gastrointestinal Tract Cancer Group, Korean Cancer Study Group and Dutch Upper GI-Cancer group.",2019
31125735,Insights for Management of Ground-Glass Opacities From the National Lung Screening Trial.,2019
31125576,Pravastatin combination with sorafenib does not improve survival in advanced hepatocellular carcinoma.,2019
31125276,"Palbociclib Plus Letrozole as First-Line Therapy in Postmenopausal Asian Women With Metastatic Breast Cancer: Results From the Phase III, Randomized PALOMA-2 Study.",2019
31125274,Converting EORTC QLQ-C30 scores to utility scores in the brigatinib ALTA study.,2019
31125266,Healthcare resource utilization and associated cost analysis of the PROCLAIM study in patients with stage III non-small-cell lung cancer.,2019
31124042,Overview of results from the Vitamin D Assessment (ViDA) study.,2019
31122901,"Atezolizumab in combination with carboplatin plus nab-paclitaxel chemotherapy compared with chemotherapy alone as first-line treatment for metastatic non-squamous non-small-cell lung cancer (IMpower130): a multicentre, randomised, open-label, phase 3 trial.",2019
31122893,Long-term treatment with recombinant human pentraxin 2 protein in patients with idiopathic pulmonary fibrosis: an open-label extension study.,2019
31122656,"Effects of combined supervised intermittent aerobic, muscle strength and home-based walking training programs on cardiorespiratory responses in women with breast cancer.",2019
31122212,The LACOG-0415 phase II trial: abiraterone acetate and ADT versus apalutamide versus abiraterone acetate and apalutamide in patients with advanced prostate cancer with non-castration testosterone levels.,2019
31122037,Efficacy of Motivational Interviewing to Enhance Advance Directive Completion in Latinos With Chronic Illness: A Randomized Controlled Trial.,2019
31122027,Intellectual Equipoise and Challenges: Accruing Patients With Advanced Cancer to a Trial Randomizing to Surgical or Nonsurgical Management (SWOG S1316).,2020
31121926,The Effect of Nutrition Intervention with Oral Nutritional Supplements on Pancreatic and Bile Duct Cancer Patients Undergoing Chemotherapy.,2019
31121557,A randomised control trial and cost-consequence analysis to examine the effects of a print-based intervention supported by internet tools on the physical activity of UK cancer survivors.,2019
31120614,The LAPLAP study: a randomized placebo-controlled clinical trial assessing postoperative functional recovery using intraperitoneal local anaesthetic in laparoscopic colorectal surgery.,2019
31120534,Association of Black Race With Prostate Cancer-Specific and Other-Cause Mortality.,2019
31120501,Effect of Gemcitabine and nab-Paclitaxel With or Without Hydroxychloroquine on Patients With Advanced Pancreatic Cancer: A Phase 2 Randomized Clinical Trial.,2019
31119765,Closer: A videoconference intervention for distance caregivers of cancer patients.,2019
31119418,Integrated versus separate reading of F-18 FDG-PET/CT and MRI for abdominal malignancies - effect on staging outcomes and diagnostic confidence.,2019
31118245,Randomized phase 2 study of FcRn antagonist efgartigimod in generalized myasthenia gravis.,2019
31118201,Toward Personalized Computer Simulation of Breast Cancer Treatment: A Multiscale Pharmacokinetic and Pharmacodynamic Model Informed by Multitype Patient Data.,2019
31118057,"Low-level laser therapy in treatment of chemoradiotherapy-induced mucositis in head and neck cancer: results of a randomised, triple blind, multicentre phase III trial.",2019
31117986,HAI and NAI titer correlates of inactivated and live attenuated influenza vaccine efficacy.,2019
31116313,"Impact of enhanced recovery after surgery on postoperative rehabilitation, inflammation, and immunity in gastric carcinoma patients: a randomized clinical trial.",2019
31116262,"Effects of mindfulness-based stress reduction combined with music therapy on pain, anxiety, and sleep quality in patients with osteosarcoma.",None
31115908,"Model-Based Population Pharmacokinetic Analysis of Nivolumab in Chinese Patients With Previously Treated Advanced Solid Tumors, Including Non-Small Cell Lung Cancer.",2019
31115844,VicTORia: a randomised phase II study to compare vinorelbine in combination with the mTOR inhibitor everolimus versus vinorelbine monotherapy for second-line chemotherapy in advanced HER2-negative breast cancer.,2019
31115626,Composite criteria using clinical and FDG PET/CT factors for predicting recurrence of hepatocellular carcinoma after living donor liver transplantation.,2019
31115153,Preemptive one lung ventilation enhances lung collapse during thoracoscopic surgery: A randomized controlled trial.,2019
31113932,ABCB1 SNP predicts outcome in patients with acute myeloid leukemia treated with Gemtuzumab ozogamicin: a report from Children's Oncology Group AAML0531 Trial.,2019
31113841,Pharmacodynamic and Clinical Results from a Phase I/II Study of the HSP90 Inhibitor Onalespib in Combination with Abiraterone Acetate in Prostate Cancer.,2019
31113400,A smartphone based attentive eating intervention for energy intake and weight loss: results from a randomised controlled trial.,2019
31112706,Detoxification effects of aloe polysaccharide and propolis on the urinary excretion of metabolites in smokers.,2019
31112105,"Cost-Effectiveness of Active Surveillance, Radical Prostatectomy and External Beam Radiotherapy for Localized Prostate Cancer: An Analysis of the ProtecT Trial.",2019
31111509,Parts greater than their sum: randomized controlled trial testing partitioned incentives to increase cancer screening.,2019
31111049,Effect of Immunomodulatory Supplements Based on Echinacea Angustifolia and Echinacea Purpurea on the Posttreatment Relapse Incidence of Genital Condylomatosis: A Prospective Randomized Study.,2019
31109313,The STELLAR trial protocol: a prospective multicentre trial for Richter's syndrome consisting of a randomised trial investigation CHOP-R with or without acalabrutinib for newly diagnosed RS and a single-arm platform study for evaluation of novel agents in relapsed disease.,2019
31108093,Self-sizing radiofrequency ablation balloon for eradication of Barrett's esophagus: results of an international multicenter randomized trial comparing 3 different treatment regimens.,2019
31106835,Relief of Neuropathic Pain Through Epidermal Growth Factor Receptor Inhibition: A Randomized Proof-of-Concept Trial.,2019
31106659,Randomized Study of the Effect of Vitamin D and Omega-3 Fatty Acids Cosupplementation as Adjuvant Chemotherapy on Inflammation and Nutritional Status in Colorectal Cancer Patients.,2020
31104905,Expanded validation of the EPIC bowel and urinary domains for use in women with gynecologic cancer undergoing postoperative radiotherapy.,2019
31104167,Influence of genetic variation in the vitamin D pathway on plasma 25-hydroxyvitamin D,2019
31103811,"Reducing seroma formation and its sequelae after mastectomy by closure of the dead space: The interim analysis of a multi-center, double-blind randomized controlled trial (SAM trial).",2019
31103547,Sex Differences in the Relationship Between Inflammation and Reward Sensitivity: A Randomized Controlled Trial of Endotoxin.,2019
31103412,"Nintedanib in combination with pemetrexed and cisplatin for chemotherapy-naive patients with advanced malignant pleural mesothelioma (LUME-Meso): a double-blind, randomised, placebo-controlled phase 3 trial.",2019
31103365,Therapeutic HSV-2 vaccine decreases recurrent virus shedding and recurrent genital herpes disease.,2019
31811485,"Quality of life in pediatric oncology patients, caregivers and siblings after psychosocial screening: a randomized controlled trial.",2020
31811480,"Efficacy of oral administration of cystine and theanine in colorectal cancer patients undergoing capecitabine-based adjuvant chemotherapy after surgery: a multi-institutional, randomized, double-blinded, placebo-controlled, phase II trial (JORTC-CAM03).",2020
31810943,Resection or Stenting in the Treatment of Symptomatic Advanced Metastatic Rectal Cancer: A Dilemma.,2019
31810940,Brief Pain Inventory (BPI) Health Survey After Midline Laparotomy With the Rectus Sheath Block (RSB) Analgesia: A Randomised Trial of Patients With Cancer and Benign Disease.,2019
31810865,Biomarker-guided antibiotic stewardship in suspected ventilator-associated pneumonia (VAPrapid2): a randomised controlled trial and process evaluation.,2020
31810797,"Tivozanib versus sorafenib in patients with advanced renal cell carcinoma (TIVO-3): a phase 3, multicentre, randomised, controlled, open-label study.",2020
31810484,"Comparison of three digestive tract reconstruction methods for the treatment of Siewert II and III adenocarcinoma of esophagogastric junction: a prospective, randomized controlled study.",2019
31810437,"Oral medicinal cannabinoids to relieve symptom burden in the palliative care of patients with advanced cancer: a double-blind, placebo controlled, randomised clinical trial of efficacy and safety of cannabidiol (CBD).",2019
31809866,The Vitamin D Assessment (ViDA) study - Design and main findings.,2020
31809827,Maintenance of clinical response and consistent safety profile with up to 3??years of continuous treatment with guselkumab: Results from the VOYAGE 1 and VOYAGE 2 trials.,2020
31809326,Sequencing Ipilimumab Immunotherapy Before or After Chemotherapy (Nab-Paclitaxel and Bevacizumab) for the Treatment of BRAFwt (BRAF Wild-Type) Metastatic Malignant Melanoma: Results of a Study of Academic and Community Cancer Research United (ACCRU) RU261206I.,2020
31809308,"Brief Report: Anal Intercourse, HIV-1 Risk, and Efficacy in a Trial of a Dapivirine Vaginal Ring for HIV-1 Prevention.",2020
31809224,"Randomized, Double-Blind, Pharmacokinetic Equivalence Trial Comparing DRL-Rituximab With MabThera in Patients With Diffuse Large B-Cell Lymphoma.",2019
31808921,Effect of True and Sham Acupuncture on Radiation-Induced Xerostomia Among Patients With Head and Neck Cancer: A Randomized Clinical Trial.,2019
31808538,Serratus plane block for video-assisted thoracoscopic surgery major lung resection: a randomized controlled trial.,2020
31808408,Effects of perioperative pelvic floor muscle training on early recovery of urinary continence and erectile function in men undergoing radical prostatectomy: a randomized clinical trial.,None
31807987,Safety and feasibility of inspiratory muscle training for hospitalized patients undergoing hematopoietic stem cell transplantation: a randomized controlled study.,2020
31806872,Randomized post-induction and delayed intensification therapy in high-risk pediatric acute lymphoblastic leukemia: long-term results of the international AIEOP-BFM ALL 2000 trial.,2020
31806543,"Adjuvant denosumab in early breast cancer (D-CARE): an international, multicentre, randomised, controlled, phase 3 trial.",2020
31806540,"Olaparib in patients with metastatic castration-resistant prostate cancer with DNA repair gene aberrations (TOPARP-B): a multicentre, open-label, randomised, phase 2 trial.",2020
31102145,Stromal organization as predictive biomarker for the treatment of colon cancer with adjuvant bevacizumab; a post-hoc analysis of the AVANT trial.,2019
